,0,1,2,3,4
0,6.465683e-09,0.0011879393,0.039002478,0.95980954,6.028113e-10
1,9.25341e-07,0.10249565,0.0022877536,0.89521533,3.6249835e-07
2,3.8579049e-07,1.9610722e-09,9.57721e-10,0.99999964,3.2769256e-09
3,0.00016436483,3.2503866e-07,0.033092726,0.96674234,2.8480883e-07
4,1.1770742e-08,0.052145027,0.5038836,0.44397137,1.6273502e-08
5,5.4261726e-08,0.016041206,0.8249592,0.15899941,1.7902875e-11
6,1.4222877e-07,0.0029248986,0.01583855,0.98123646,7.183654e-10
7,2.3818728e-10,0.022108968,0.03403921,0.9438519,1.1626575e-11
8,0.0013069914,0.1621661,0.28564188,0.5508846,3.855551e-07
9,9.001653e-12,0.2587515,0.40453464,0.33671385,4.182831e-11
10,3.2463625e-08,0.7383384,2.1612036e-06,0.26165932,6.224553e-08
11,1.272263e-07,5.792181e-09,1.66736e-08,0.9999999,8.484778e-10
12,1.6917879e-06,3.899642e-05,1.4924032e-09,0.9998567,0.000102659214
13,4.608876e-08,5.2011258e-09,3.190767e-14,0.9999882,1.1834807e-05
14,5.979708e-05,0.045112483,0.83877695,0.11604874,2.0911039e-06
15,7.8867e-09,0.004476308,0.00093031855,0.99459285,4.5654957e-07
16,2.779909e-06,0.0028305654,0.53482175,0.46234047,4.4111935e-06
17,3.321106e-07,0.87299806,3.235778e-05,0.12696874,5.4646597e-07
18,4.2219176e-07,6.7493596e-07,0.0001947069,0.9998042,1.03178515e-08
19,1.9444205e-06,0.0011759237,0.0026186472,0.9962035,5.7416116e-10
20,0.00013317194,6.078718e-06,0.0008546234,0.99900454,1.5375621e-06
21,6.71278e-06,6.124609e-05,0.00024220967,0.9996793,1.0483399e-05
22,2.4300077e-06,0.36339408,3.8882995e-06,0.6365984,1.2124707e-06
23,6.481988e-08,0.055988472,0.051665794,0.89234567,1.2037747e-08
24,1.0652707e-07,0.015769288,6.8310546e-06,0.9842074,1.6436465e-05
25,1.818536e-07,4.6156665e-10,3.738797e-08,0.9996648,0.00033496568
26,1.0770478e-05,0.00724458,0.001108426,0.99163616,1.0702102e-07
27,1.4654769e-07,0.004880528,1.1502967e-07,0.99511886,4.134468e-07
28,1.9299344e-08,0.0040875794,0.0026413074,0.99327105,2.2568954e-11
29,5.996444e-11,2.2049837e-06,0.00021117032,0.9997867,2.5247657e-14
30,1.0568341e-08,6.844339e-06,1.8598439e-05,0.9999745,7.591045e-11
31,4.115971e-11,3.7501466e-06,4.81104e-05,0.99994814,1.0470421e-14
